RFID,tag_number,abdomen_color,hive,Date,tagged_date
BE 64 22 66 08 00 12 E0,Y46,yellow,2,6/17/21,2021-06-17
C7 64 22 06 08 06 00 12 E0,Y11,yellow,2,6/17/21,2021-06-17
C4 66 22 66 08 00 12 E0,Y30,yellow,2,6/17/21,2021-06-17
B6 67 22 66 08 00 12 E0,Y44,yellow,2,6/17/21,2021-06-17
C8 66 22 66 08 00 12 E0,Y22,yellow,2,6/17/21,2021-06-17
E6 63 31 06 09 00 12 E0,G1,green,2,7/13/21,2021-07-13
D3 63 31 06 09 00 12 E0,G2,green,2,7/13/21,2021-07-13
B1 67 22 06 08 00 12 E0,G3,green,2,7/13/21,2021-07-13
EC 63 31 06 09 00 12 E0,G5,green,2,7/13/21,2021-07-13
E5 63 31 06 09 00 12 E0,G4,green,2,7/13/21,2021-07-13
65 61 31 06 09 00 12 E0,G6,green,2,7/13/21,2021-07-13
B4 61 31 06 09 00 12 E0,G8,green,2,7/13/21,2021-07-13
A8 61 31 06 09 00 12 E0,G7,green,2,7/13/21,2021-07-13
64 61 31 06 09 00 12 E0,G10,green,2,7/13/21,2021-07-13
C8 61 31 06 09 00 12 E0,G11,green,2,7/13/21,2021-07-13
C1 61 31 06 09 00 12 E0,G12,green,2,7/13/21,2021-07-13
AF 61 31 06 09 00 12 E0,G13,green,2,7/13/21,2021-07-13
EA 63 31 06 09 00 12 E0,G14,green,2,7/13/21,2021-07-13
74 52 31 06 09 00 12 E0,G15,green,2,7/13/21,2021-07-13
B5 61 31 06 09 00 12 E0,G16,green,2,7/13/21,2021-07-13
AE 61 31 06 09 00 12 E0,G17,green,2,7/13/21,2021-07-13
DE 63 31 06 09 00 12 E0,G18,green,2,7/13/21,2021-07-13
B0 61 31 06 09 00 12 E0,G19,green,2,7/13/21,2021-07-13
C3 61 31 06 09 00 12 E0,G20,green,2,7/13/21,2021-07-13
A6 61 31 06 09 00 12 E0,G21,green,2,7/13/21,2021-07-13
F9 63 31 06 09 00 12 E0,G22,green,2,7/13/21,2021-07-13
0D 4F 31 06 09 00 12 E0,G23,green,2,7/13/21,2021-07-13
CF 63 31 06 09 00 12 E0,G25,green,2,7/13/21,2021-07-13
53 61 31 06 09 00 12 E0,G26,green,2,7/13/21,2021-07-13
7D 52 31 06 09 00 12 E0,G27,green,2,7/13/21,2021-07-13
66 61 31 06 09 00 12 E0,G28,green,2,7/13/21,2021-07-13
B7 61 31 06 09 00 12 E0,G30,green,2,7/13/21,2021-07-13
C0 61 31 06 09 00 12 E0,G29,green,2,7/13/21,2021-07-13
F4 63 31 06 09 00 12 E0,G32,green,2,7/13/21,2021-07-13
6C 52 31 06 09 00 12 E0,G33,green,2,7/13/21,2021-07-13
04 64 31 06 09 00 12 E0,G34,green,2,7/13/21,2021-07-13
4F 54 31 06 09 00 12 E0,G36,green,2,7/13/21,2021-07-13
D4 63 31 06 09 00 12 E0,G35,green,2,7/13/21,2021-07-13
D4 61 31 06 09 00 12 E0,G39,green,2,7/13/21,2021-07-13
D5 64 22 06 08 00 12 E0,G31,green,2,7/13/21,2021-07-13
C4 61 31 06 09 00 12 E0,G40,green,2,7/13/21,2021-07-13
EE 63 31 06 09 00 12 E0,G41,green,2,7/13/21,2021-07-13
70 52 31 06 09 12 E0,G42,green,2,7/13/21,2021-07-13
F0 63 31 06 09 00 12 E0,G37,green,2,7/13/21,2021-07-13
B1 61 31 06 09 00 12 E0,G43,green,2,7/13/21,2021-07-13
B9 61 31 06 09 00 12 E0,G44,green,2,7/13/21,2021-07-13
BC 61 31 06 09 00 12 E0,G45,green,2,7/13/21,2021-07-13
B3 61 31 06 09 00 12 E0,G46,green,2,7/13/21,2021-07-13
CC 63 31 06 09 00 12 E0,G47,green,2,7/13/21,2021-07-13
49 54 31 06 09 00 12 E0,G48,green,2,7/13/21,2021-07-13
73 52 31 06 09 00 12 E0,G49,green,2,7/13/21,2021-07-13
D7 63 31 06 09 00 12 E0,G50,green,2,7/13/21,2021-07-13
BC 64 22 06 08 00 12 E0,W1,Orange,6,7/8/21,2021-07-08
D0 66 22 06 08 00 12 E0,W2,Orange,6,7/8/21,2021-07-08
B1 64 22 06 08 00 12 E0,W3,Orange,6,7/8/21,2021-07-08
AF 64 22 06 08 00 12 E0,W4,Orange,6,7/8/21,2021-07-08
E7 66 22 06 08 00 12 E0,W5,Orange,6,7/8/21,2021-07-08
62 50 22 06 08 00 12 E0,W7,Orange,6,7/8/21,2021-07-08
56 61 22 06 08 00 12 E0,W8,Orange,6,7/8/21,2021-07-08
EF 63 22 06 08 00 12 E0,W9,Orange,6,7/8/21,2021-07-08
E8 63 22 06 08 00 12 E0,W10,Orange,6,7/8/21,2021-07-08
B7 64 22 06 08 00 12 E0,W11,Orange,6,7/8/21,2021-07-08
D8 63 22 06 08 00 12 E0,W12,Orange,6,7/8/21,2021-07-08
DD 63 22 06 08 00 12 E0,W14,Orange,6,7/8/21,2021-07-08
D0 61 22 06 08 00 12 E0,W13,Orange,6,7/8/21,2021-07-08
45 61 22 06 08 00 12 E0,W15,Orange,6,7/8/21,2021-07-08
E1 63 22 06 08 00 12 E0,W16,Orange,6,7/8/21,2021-07-08
AC 61 22 06 08 00 12 E0,W17,Orange,6,7/8/21,2021-07-08
E2 63 22 06 08 00 12 E0,W18,Orange,6,7/8/21,2021-07-08
E3 63 22 06 08 00 12 E0,W19,Orange,6,7/8/21,2021-07-08
6F 52 22 06 08 00 12 E0,W20,Orange,6,7/8/21,2021-07-08
AA 61 22 06 08 00 12 E0,W21,Orange,6,7/8/21,2021-07-08
EF 63 22 06 08 00 12 E0,W22,Orange,6,7/8/21,2021-07-08
4D 54 22 06 08 00 12 E0,W23,Orange,6,7/8/21,2021-07-08
ED 63 22 06 08 00 12 E0,W25,Orange,6,7/8/21,2021-07-08
EB 63 22 06 08 00 12 E0,W24,Orange,6,7/8/21,2021-07-08
AD 61 22 06 08 00 12 E0,W26,Orange,6,7/8/21,2021-07-08
F1 63 22 06 08 00 12 E0,W27,Orange,6,7/8/21,2021-07-08
A7 61 22 06 08 00 12 E0,W28,Orange,6,7/8/21,2021-07-08
OC 47 22 06 08 00 12 E0,W29,Orange,6,7/8/21,2021-07-08
6B 52 22 06 08 00 12 E0,W30,Orange,6,7/8/21,2021-07-08
47 54 22 06 08 00 12 E0,W31,Orange,6,7/8/21,2021-07-08
DB 63 22 06 08 00 12 E0,W32,Orange,6,7/8/21,2021-07-08
C7 61 22 06 08 00 12 E0,W33,Orange,6,7/8/21,2021-07-08
A5 61 22 06 08 00 12 E0,W34,Orange,6,7/8/21,2021-07-08
D3 61 22 06 08 00 12 E0,W35,Orange,6,7/8/21,2021-07-08
BB 61 22 06 08 00 12 E0,W36,Orange,6,7/8/21,2021-07-08
DC 63 22 06 08 00 12 E0,W38,Orange,6,7/8/21,2021-07-08
A9 61 22 06 08 00 12 E0,W39,Orange,6,7/8/21,2021-07-08
FB 63 22 06 08 00 12 E0,W40,Orange,6,7/8/21,2021-07-08
DF 63 22 06 08 00 12 E0,W41,Orange,6,7/8/21,2021-07-08
BF 61 22 06 08 00 12 E0,W42,Orange,6,7/8/21,2021-07-08
B8 61 22 06 08 00 12 E0,W43,Orange,6,7/8/21,2021-07-08
55 61 22 06 08 00 12 E0,W44,Orange,6,7/8/21,2021-07-08
D0 63 22 06 08 00 12 E0,W45,Orange,6,7/8/21,2021-07-08
BA 61 22 06 08 00 12 E0,W46,Orange,6,7/8/21,2021-07-08
C2 61 22 06 08 00 12 E0,W47,Orange,6,7/8/21,2021-07-08
4B 54 22 06 08 00 12 E0,W48,Orange,6,7/8/21,2021-07-08
DA 63 22 06 08 00 12 E0,W49,Orange,6,7/8/21,2021-07-08
D9 63 22 06 08 00 12 E0,W50,Orange,6,7/8/21,2021-07-08
B6 61 22 06 08 00 12 E0,W51,Orange,6,7/8/21,2021-07-08
83 64 31 06 09 00 12 E0,B1,blue,7,7/20/21,2021-07-20
58 63 31 06 09 00 12 E0,B2,blue,7,7/20/21,2021-07-20
81 64 31 06 09 00 12 E0,B3,blue,7,7/20/21,2021-07-20
80 64 31 06 09 00 12 E0,B4,blue,7,7/20/21,2021-07-20
93 64 31 06 09 00 12 E0,B5,blue,7,7/20/21,2021-07-20
92 64 31 06 09 00 12 E0,B6,blue,7,7/20/21,2021-07-20
91 64 31 06 09 00 12 E0,B7,blue,7,7/20/21,2021-07-20
46 63 31 06 09 00 12 E0,B8,blue,7,7/20/21,2021-07-20
E7 49 31 06 09 00 12 E0,B10,blue,7,7/20/21,2021-07-20
59 63 31 06 09 00 12 E0,B11,blue,7,7/20/21,2021-07-20
82 64 31 06 09 00 12 E0,B12,blue,7,7/20/21,2021-07-20
57 63 31 06 09 00 12 E0,B13,blue,7,7/20/21,2021-07-20
56 63 31 06 09 00 12 E0,B14,blue,7,7/20/21,2021-07-20
49 63 31 06 09 00 12 E0,B15,blue,7,7/20/21,2021-07-20
48 63 31 06 09 00 12 E0,B16,blue,7,7/20/21,2021-07-20
90 64 31 06 09 00 12 E0,B18,blue,7,7/20/21,2021-07-20
39 63 31 06 09 00 12 E0,B19,blue,7,7/20/21,2021-07-20
38 63 31 06 09 00 12 E0,B20,blue,7,7/20/21,2021-07-20
55 63 31 06 09 00 12 E0,B21,blue,7,7/20/21,2021-07-20
FF 49 31 06 09 00 12 E0,B22,blue,7,7/20/21,2021-07-20
53 63 31 06 09 00 12 E0,B23,blue,6,7/20/21,2021-07-20
52 63 31 06 09 00 12 E0,B24,blue,6,7/20/21,2021-07-20
45 63 31 06 09 00 12 E0,B25,blue,6,7/20/21,2021-07-20
44 63 31 06 09 00 12 E0,B26,blue,6,7/20/21,2021-07-20
43 63 31 06 09 00 12 E0,B27,blue,6,7/20/21,2021-07-20
42 63 31 06 09 00 12 E0,B28,blue,6,7/20/21,2021-07-20
35 63 31 06 09 00 12 E0,B29,blue,6,7/20/21,2021-07-20
72 62 31 06 09 00 12 E0,B30,blue,6,7/20/21,2021-07-20
51 63 31 06 09 00 12 E0,B31,blue,6,7/20/21,2021-07-20
50 63 31 06 09 00 12 E0,B32,blue,6,7/20/21,2021-07-20
4F 63 31 06 09 00 12 E0,B33,blue,6,7/20/21,2021-07-20
4E 63 31 06 09 00 12 E0,B34,blue,6,7/20/21,2021-07-20
41 63 31 06 09 00 12 E0,B35,blue,6,7/20/21,2021-07-20
40 63 31 06 09 00 12 E0,B36,blue,6,7/20/21,2021-07-20
3F 63 31 06 09 00 12 E0,B37,blue,6,7/20/21,2021-07-20
3E 63 31 06 09 00 12 E0,B38,blue,6,7/20/21,2021-07-20
E6 49 31 06 09 00 12 E0,B39,blue,6,7/20/21,2021-07-20
4F 62 31 06 09 00 12 E0,B40,blue,6,7/20/21,2021-07-20
4D 63 31 06 09 00 12 E0,B41,blue,6,7/20/21,2021-07-20
4C 63 31 06 09 00 12 E0,B42,blue,6,7/20/21,2021-07-20
4B 63 31 06 09 00 12 E0,B43,blue,6,7/20/21,2021-07-20
3D 63 31 06 09 00 12 E0,B45,blue,6,7/20/21,2021-07-20
51 62 31 06 09 00 12 E0,B46,blue,6,7/20/21,2021-07-20
3C 63 31 06 09 00 12 E0,B47,blue,6,7/20/21,2021-07-20
3B 63 31 06 09 00 12 E0,B48,blue,6,7/20/21,2021-07-20
27 4D 31 06 09 00 12 E0,R1,red,6,7/15/21,2021-07-15
A8 54 31 06 09 00 12 E0,R2,red,6,7/15/21,2021-07-15
F6 53 31 06 09 00 12 E0,R3,red,6,7/15/21,2021-07-15
28 4D 31 06 09 00 12 E0,R4,red,6,7/15/21,2021-07-15
F1 53 31 06 09 00 12 E0,R5,red,6,7/15/21,2021-07-15
33 65 31 06 09 00 12 E0,R7,red,6,7/15/21,2021-07-15
EE 53 31 06 09 00 12 E0,R8,red,6,7/15/21,2021-07-15
09 4A 31 06 09 00 12 E0,R6,red,6,7/15/21,2021-07-15
EA 53 31 06 09 00 12 E0,R10,red,6,7/15/21,2021-07-15
E9 53 31 06 09 00 12 E0,R11,red,6,7/15/21,2021-07-15
20 51 31 06 09 00 12 E0,R13,red,6,7/15/21,2021-07-15
1B 51 31 06 09 00 12 E0,R14,red,6,7/15/21,2021-07-15
0F 4A 31 06 09 00 12 E0,R15,red,6,7/15/21,2021-07-15
29 4d 31 06 09 00 12 E0,R16,red,6,7/15/21,2021-07-15
17 51 31 06 09 00 12 E0,R17,red,6,7/15/21,2021-07-15
BD 61 31 06 09 00 12 E0,R71,red,6,7/15/21,2021-07-15
14 51 31 06 09 00 12 E0,R21,red,6,7/15/21,2021-07-15
68 50 31 06 09 00 12 E0,R22,red,6,7/15/21,2021-07-15
67 50 31 06 09 00 12 E0,R23,red,6,7/15/21,2021-07-15
03 64 31 06 09 00 12 E0,R24,red,6,7/15/21,2021-07-15
F4 53 31 06 09 00 12 E0,R25,red,6,7/15/21,2021-07-15
F0 53 31 06 09 00 12 E0,R26,red,6,7/15/21,2021-07-15
EC 53 31 06 09 00 12 E0,R27,red,6,7/15/21,2021-07-15
E8 53 31 06 09 00 12 E0,R28,red,6,7/15/21,2021-07-15
EE 49 31 06 09 00 12 E0,R29,red,6,7/15/21,2021-07-15
16 51 31 06 09 00 12 E0,R30,red,6,7/15/21,2021-07-15
A6 54 31 06 09 00 12 E0,R33,red,6,7/15/21,2021-07-15
2A 4D 31 06 09 00 12 E0,R34,red,6,7/15/21,2021-07-15
F3 53 31 06 09 00 12 E0,R35,red,6,7/15/21,2021-07-15
A7 54 31 06 09 00 12 E0,R37,red,6,7/15/21,2021-07-15
29 51 31 06 09 00 12 E0,R39,red,6,7/15/21,2021-07-15
11 51 31 06 09 00 12 E0,R40,red,6,7/15/21,2021-07-15
3F 51 31 06 09 00 12 E0,R38,red,6,7/15/21,2021-07-15
28 51 31 06 09 00 12 E0,R41,red,6,7/15/21,2021-07-15
EF 53 31 06 09 00 12 E0,R42,red,6,7/15/21,2021-07-15
13 4A 31 06 09 00 12 E0,R32,red,6,7/15/21,2021-07-15
CB 53 31 06 09 00 12 E0,R43,red,6,7/15/21,2021-07-15
26 51 31 06 09 00 12 E0,R44,red,6,7/15/21,2021-07-15
56 50 31 06 09 00 12 E0,R45,red,6,7/15/21,2021-07-15
06 2A 31 06 09 00 12 E0,R31,red,6,7/15/21,2021-07-15
15 51 31 06 09 00 12 E0,R46,red,6,7/15/21,2021-07-15
19 51 31 06 09 00 12 E0,Y1,yellow,10,7/30/21,2021-07-30
1D 51 31 06 09 00 12 E0,Y2,yellow,10,7/30/21,2021-07-30
DF 53 31 06 09 00 12 E0,Y3,yellow,10,7/30/21,2021-07-30
04 4A 31 06 09 00 12 E0,Y4,yellow,10,7/30/21,2021-07-30
00 4A 31 06 09 00 12 E0,Y5,yellow,10,7/30/21,2021-07-30
24 51 31 06 09 00 12 E0,Y6,yellow,10,7/30/21,2021-07-30
C8 54 31 06 09 00 12 E0,Y7,yellow,10,7/30/21,2021-07-30
E7 53 31 06 09 00 12 E0,Y8,yellow,10,7/30/21,2021-07-30
23 51 31 06 09 00 12 E0,Y10,yellow,10,7/30/21,2021-07-30
D6 54 31 06 09 00 12 E0,Y11,yellow,10,7/30/21,2021-07-30
76 50 31 06 09 00 12 E0,Y12,yellow,10,7/30/21,2021-07-30
FD 49 31 06 09 00 12 E0,Y13,yellow,10,7/30/21,2021-07-30
B6 54 31 06 09 00 12 E0,Y15,yellow,10,7/30/21,2021-07-30
B7 54 31 06 09 00 12 E0,Y16,yellow,10,7/30/21,2021-07-30
DD 53 31 06 09 00 12 E0,Y17,yellow,10,7/30/21,2021-07-30
2B 51 31 06 09 00 12 E0,Y18,yellow,10,7/30/21,2021-07-30
F6 49 31 06 09 00 12 E0,Y19,yellow,10,7/30/21,2021-07-30
F9 49 31 06 09 00 12 E0,Y20,yellow,10,7/30/21,2021-07-30
D9 53 31 06 09 00 12 E0,Y21,yellow,10,7/30/21,2021-07-30
0E 4A 31 06 09 00 12 E0,Y22,yellow,10,7/30/21,2021-07-30
2E 51 31 06 09 00 12 E0,Y23,yellow,10,7/30/21,2021-07-30
E0 53 31 06 09 00 12 E0,Y24,yellow,10,7/30/21,2021-07-30
DC 53 31 06 09 00 12 E0,Y25,yellow,10,7/30/21,2021-07-30
2F 51 31 06 09 00 12 E0,Y26,yellow,10,7/30/21,2021-07-30
37 4D 31 06 09 00 12 E0,Y27,yellow,10,7/30/21,2021-07-30
E5 53 31 06 09 00 12 E0,Y28,yellow,10,7/30/21,2021-07-30
57 50 31 06 09 00 12 E0,Y29,yellow,10,7/30/21,2021-07-30
F8 49 31 06 09 00 12 E0,Y30,yellow,10,7/30/21,2021-07-30
E1 53 31 06 09 00 12 E0,Y14,yellow,10,7/30/21,2021-07-30
FE 49 31 06 09 00 12 E0,Y31,yellow,10,7/30/21,2021-07-30
02 4A 31 06 09 00 12 E0,Y32,yellow,10,7/30/21,2021-07-30
01 4A 31 06 09 00 12 E0,Y33,yellow,10,7/30/21,2021-07-30
12 4A 31 06 09 00 12 E0,Y34,yellow,10,7/30/21,2021-07-30
17 4A 31 06 09 00 12 E0,Y35,yellow,10,7/30/21,2021-07-30
37 51 31 06 09 00 12 E0,Y36,yellow,10,7/30/21,2021-07-30
15 61 31 06 09 00 12 E0,Y37,yellow,10,7/30/21,2021-07-30
58 50 31 06 09 00 12 E0,Y38,yellow,10,7/30/21,2021-07-30
EA 49 31 06 09 00 12 E0,Y39,yellow,10,7/30/21,2021-07-30
34 51 31 06 09 00 12 E0,Y40,yellow,10,7/30/21,2021-07-30
CA 53 31 06 09 00 12 E0,Y41,yellow,10,7/30/21,2021-07-30
BB 54 31 06 09 00 12 E0,Y42,yellow,10,7/30/21,2021-07-30
0A 4A 31 06 09 00 12 E0,Y43,yellow,10,7/30/21,2021-07-30
3E 51 31 06 09 00 12 E0,Y44,yellow,10,7/30/21,2021-07-30
16 4A 31 06 09 00 12 E0,Y45,yellow,10,7/30/21,2021-07-30
07 4A 31 06 09 00 12 E0,Y46,yellow,10,7/30/21,2021-07-30
E3 53 31 06 09 00 12 E0,Y47,yellow,10,7/30/21,2021-07-30
16 61 31 06 09 00 12 E0,Y48,yellow,10,7/30/21,2021-07-30
F2 49 31 06 09 00 12 E0,Y49,yellow,10,7/30/21,2021-07-30
3C 51 31 06 09 00 12 E0,Y50,yellow,10,7/30/21,2021-07-30
